city,country,main_temp,main_pressure,main_humidity,weather_description,datetime
Paris,FR,14.16,1021,66,broken clouds,2025-03-25T16:23:09
London,GB,13.72,1022,78,overcast clouds,2025-03-25T16:23:09
New York,US,12.06,1012,37,few clouds,2025-03-25T16:23:09
Berlin,DE,11.4,1016,66,clear sky,2025-03-25T16:23:09
Tokyo,JP,18.31,1001,63,clear sky,2025-03-25T16:23:09
Paris,FR,14.16,1021,66,broken clouds,2025-03-25T16:24:09
London,GB,13.72,1022,78,overcast clouds,2025-03-25T16:24:09
New York,US,12.06,1012,37,few clouds,2025-03-25T16:24:09
Berlin,DE,11.4,1016,66,clear sky,2025-03-25T16:24:09
Tokyo,JP,18.31,1001,63,clear sky,2025-03-25T16:24:09
Paris,FR,14.16,1021,66,broken clouds,2025-03-25T16:25:09
London,GB,13.72,1022,78,overcast clouds,2025-03-25T16:25:09
New York,US,12.06,1012,37,few clouds,2025-03-25T16:25:09
Berlin,DE,11.4,1016,66,clear sky,2025-03-25T16:25:09
Tokyo,JP,18.31,1001,63,clear sky,2025-03-25T16:25:09
Paris,FR,14.16,1021,66,broken clouds,2025-03-25T16:26:09
London,GB,13.72,1022,78,overcast clouds,2025-03-25T16:26:09
New York,US,12.09,1012,37,few clouds,2025-03-25T16:26:09
Berlin,DE,11.4,1016,66,clear sky,2025-03-25T16:26:09
Tokyo,JP,18.36,1001,63,clear sky,2025-03-25T16:26:09
Paris,FR,14.16,1021,66,broken clouds,2025-03-25T16:27:09
London,GB,13.72,1022,78,overcast clouds,2025-03-25T16:27:09
New York,US,12.09,1012,37,few clouds,2025-03-25T16:27:09
Berlin,DE,11.4,1016,66,clear sky,2025-03-25T16:27:09
Tokyo,JP,18.36,1001,63,clear sky,2025-03-25T16:27:09
Paris,FR,14.16,1021,66,broken clouds,2025-03-25T16:28:09
London,GB,13.72,1022,78,overcast clouds,2025-03-25T16:28:09
New York,US,12.09,1012,37,few clouds,2025-03-25T16:28:09
Berlin,DE,11.5,1016,64,broken clouds,2025-03-25T16:28:09
Tokyo,JP,18.31,1001,63,clear sky,2025-03-25T16:28:09
Paris,FR,14.16,1021,65,broken clouds,2025-03-25T16:29:10
London,GB,13.72,1022,78,overcast clouds,2025-03-25T16:29:10
New York,US,12.03,1012,37,few clouds,2025-03-25T16:29:10
Berlin,DE,11.5,1016,64,broken clouds,2025-03-25T16:29:10
Tokyo,JP,18.31,1001,63,clear sky,2025-03-25T16:29:10
Paris,FR,14.16,1021,66,broken clouds,2025-03-25T16:30:11
London,GB,13.72,1022,78,overcast clouds,2025-03-25T16:30:11
New York,US,12.06,1012,37,few clouds,2025-03-25T16:30:11
Berlin,DE,11.4,1016,66,clear sky,2025-03-25T16:30:11
Tokyo,JP,18.31,1001,63,clear sky,2025-03-25T16:30:11
Paris,FR,14.16,1021,66,broken clouds,2025-03-25T16:31:09
London,GB,13.72,1022,78,overcast clouds,2025-03-25T16:31:09
New York,US,12.06,1012,37,few clouds,2025-03-25T16:31:09
Berlin,DE,11.4,1016,66,clear sky,2025-03-25T16:31:09
Tokyo,JP,18.31,1001,63,clear sky,2025-03-25T16:31:09
Paris,FR,14.16,1021,66,broken clouds,2025-03-25T16:32:10
London,GB,13.86,1022,78,overcast clouds,2025-03-25T16:32:10
New York,US,12.1,1012,37,few clouds,2025-03-25T16:32:10
Berlin,DE,11.4,1016,66,clear sky,2025-03-25T16:32:10
Tokyo,JP,18.31,1001,63,clear sky,2025-03-25T16:32:10
Paris,FR,14.16,1021,66,broken clouds,2025-03-25T16:33:09
London,GB,13.86,1022,78,overcast clouds,2025-03-25T16:33:09
New York,US,12.1,1012,37,few clouds,2025-03-25T16:33:09
Berlin,DE,11.46,1016,64,clear sky,2025-03-25T16:33:09
Tokyo,JP,18.36,1001,63,clear sky,2025-03-25T16:33:09
Paris,FR,14.16,1021,66,broken clouds,2025-03-25T16:34:09
London,GB,13.83,1023,78,overcast clouds,2025-03-25T16:34:09
New York,US,12.18,1012,37,few clouds,2025-03-25T16:34:09
Berlin,DE,11.5,1016,64,broken clouds,2025-03-25T16:34:09
Tokyo,JP,18.32,1001,63,clear sky,2025-03-25T16:34:09
Paris,FR,14.16,1021,66,broken clouds,2025-03-25T16:35:10
London,GB,13.83,1023,78,overcast clouds,2025-03-25T16:35:10
New York,US,12.18,1012,37,few clouds,2025-03-25T16:35:10
Berlin,DE,11.5,1016,64,broken clouds,2025-03-25T16:35:10
Tokyo,JP,18.32,1001,63,clear sky,2025-03-25T16:35:10
Paris,FR,14.16,1021,66,broken clouds,2025-03-25T16:36:09
London,GB,13.83,1023,78,overcast clouds,2025-03-25T16:36:09
New York,US,12.18,1012,37,few clouds,2025-03-25T16:36:09
Berlin,DE,11.5,1016,64,broken clouds,2025-03-25T16:36:09
Tokyo,JP,18.32,1001,63,clear sky,2025-03-25T16:36:09
Paris,FR,14.16,1021,66,broken clouds,2025-03-25T16:37:09
London,GB,13.83,1023,78,overcast clouds,2025-03-25T16:37:09
New York,US,12.18,1012,37,few clouds,2025-03-25T16:37:09
Berlin,DE,11.5,1016,64,broken clouds,2025-03-25T16:37:09
Tokyo,JP,18.32,1001,63,clear sky,2025-03-25T16:37:09
Paris,FR,14.16,1021,66,broken clouds,2025-03-25T16:38:10
London,GB,13.83,1023,78,overcast clouds,2025-03-25T16:38:10
New York,US,12.18,1012,37,few clouds,2025-03-25T16:38:10
Berlin,DE,11.5,1016,64,broken clouds,2025-03-25T16:38:10
Tokyo,JP,18.32,1001,63,clear sky,2025-03-25T16:38:10
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T16:49:24
London,GB,13.8,1023,80,overcast clouds,2025-03-25T16:49:24
New York,US,12.34,1012,37,few clouds,2025-03-25T16:49:24
Berlin,DE,10.92,1016,58,broken clouds,2025-03-25T16:49:24
Tokyo,JP,18.51,1001,62,clear sky,2025-03-25T16:49:24
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T16:49:30
London,GB,13.8,1023,80,overcast clouds,2025-03-25T16:49:30
New York,US,12.34,1012,37,few clouds,2025-03-25T16:49:30
Berlin,DE,10.92,1016,58,broken clouds,2025-03-25T16:49:30
Tokyo,JP,18.51,1001,62,clear sky,2025-03-25T16:49:30
Paris,FR,13.59,1021,68,broken clouds,2025-03-25T16:50:10
London,GB,13.8,1023,80,overcast clouds,2025-03-25T16:50:10
New York,US,12.34,1012,37,few clouds,2025-03-25T16:50:10
